Date,Open,High,Low,Close,Adj Close,Volume,,,,
2/1/2012,16.371786,19.557501,16.213572,19.372856,16.513767,11368554400,,,,
3/1/2012,19.577499,22.194643,18.436428,21.4125,18.252398,15584338000,,,,
4/1/2012,21.493929,23,19.821428,20.856428,17.778391,15598990400,,,,
5/1/2012,20.889286,21.312857,18.649286,20.633215,17.588125,11106345600,,,,
6/1/2012,20.327143,21.071428,19.589287,20.857143,17.778999,7855825600,,,,
7/1/2012,20.883215,22.138214,20.357143,21.812857,18.593664,8909650400,,,,
8/1/2012,21.996786,24.316786,21.4375,23.758572,20.252228,8276206400,,,,
9/1/2012,23.777143,25.18107,23.428572,23.825001,20.396053,9199005200,,,,
10/1/2012,23.969999,24.169643,20.989286,21.261429,18.201435,12142830000,,,,
11/1/2012,21.365,21.535713,18.0625,20.902857,17.894472,12929851200,,,,
12/1/2012,21.201786,21.235357,17.901072,19.006071,16.344995,12132752800,,,,
1/1/2013,19.779285,19.821428,15.535714,16.2675,13.989854,13123423600,,,,
2/1/2013,16.396786,17.319286,15.630714,15.764286,13.557096,9344034000,,,,
3/1/2013,15.642857,16.78393,14.964286,15.809286,13.675034,9176876800,,,,
4/1/2013,15.782143,15.901786,13.753571,15.813571,13.678736,10963489600,,,,
5/1/2013,15.873571,16.633928,14.960714,16.061787,13.893441,9447530400,,,,
6/1/2013,16.0975,16.229643,13.888214,14.161786,12.331029,7018536000,,,,
7/1/2013,14.381786,16.33357,14.329286,16.161785,14.072477,6538114800,,,,
8/1/2013,16.276787,18.347857,16.187857,17.400715,15.151245,8058338400,,,,
9/1/2013,17.610714,18.139999,15.972143,17.026787,14.923547,8630941200,,,,
10/1/2013,17.0875,19.258928,17.081429,18.667856,16.361898,7837732000,,,,
11/1/2013,18.715,19.940357,18.299286,19.859644,17.406471,5225155600,,,,
12/1/2013,19.928572,20.540714,19.242857,20.036428,17.663952,7057397200,,,,
1/1/2014,19.845715,20.007143,17.626785,17.878571,15.7616,8765954400,,,,
2/1/2014,17.950357,19.685356,17.832144,18.794287,16.568888,5880366800,,,,
3/1/2014,18.693571,19.607143,18.671785,19.169287,17.000645,5001698800,,,,
4/1/2014,19.205713,21.408215,18.261786,21.074642,18.690443,6435060800,,,,
5/1/2014,21.142857,23.006071,20.72607,22.607143,20.049572,5735668400,,,,
6/1/2014,22.64143,23.762501,22.232143,23.2325,20.719265,4827739200,,,,
7/1/2014,23.379999,24.860001,23.1425,23.9,21.314552,4140344000,,,,
8/1/2014,23.725,25.725,23.32,25.625,22.852945,3748308000,,,,
9/1/2014,25.764999,25.934999,24.035,25.1875,22.574509,6105680000,,,,
10/1/2014,25.147499,27.01,23.795,27,24.198975,5441120800,,,,
11/1/2014,27.055,29.9375,26.93,29.7325,26.647997,3281632800,,,,
12/1/2014,29.702499,29.8125,26.565001,27.594999,24.839491,4294378400,,,,
1/1/2015,27.8475,30,26.157499,29.290001,26.36524,5221053600,,,,
2/1/2015,29.512501,33.400002,29.02,32.115002,28.908148,4546140800,,,,
3/1/2015,32.3125,32.57,30.407499,31.1075,28.111761,4554568400,,,,
4/1/2015,31.205,33.634998,30.775,31.2875,28.274424,3984542000,,,,
5/1/2015,31.525,33.2425,30.84,32.57,29.433418,3816608400,,,,
6/1/2015,32.57,32.8475,31.120001,31.3575,28.456059,3514426800,,,,
7/1/2015,31.725,33.2425,29.805,30.325001,27.519091,4233122400,,,,
8/1/2015,30.375,30.6425,23,28.190001,25.581638,6427276400,,,,
9/1/2015,27.5375,29.2225,26.84,27.575001,25.13681,4826189200,,,,
10/1/2015,27.2675,30.305,26.827499,29.875,27.233444,4450048400,,,,
11/1/2015,30.200001,30.955,27.75,29.575001,26.959965,3002562400,,,,
12/1/2015,29.6875,29.965,26.205,26.315001,24.090899,3687660800,,,,
